YZ,S1TOP,S2BOTTOM,S2TOP,S3BOTTOM,S3TOP,S4BOTTOM,S4TOP,S5BOTTOM,S5TOP,S6BOTTOM,S6TOP,S7BOTTOM,S7TOP,S8BOTTOM,S8TOP,S9TOP
sm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
YZ,S1TOP,S2BOTTOM,S2TOP,S3BOTTOM,S3TOP,S4BOTTOM,S4TOP,S5BOTTOM,S5TOP,S6BOTTOM,S6TOP,S7BOTTOM,S7TOP,S8BOTTOM,S8TOP,S9TOP
sm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
YZ,S1TOP,S2BOTTOM,S2TOP,S3BOTTOM,S3TOP,S4BOTTOM,S4TOP,S5BOTTOM,S5TOP,S6BOTTOM,S6TOP,S7BOTTOM,S7TOP,S8BOTTOM,S8TOP,S9TOP
sm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
